births_2017_18, natural_increase_2020_21, births_2020_21, births_2016_17, state_name_2021, net_internal_migration_2019_20, deaths_2018_19, internal_departures_2018_19, natural_increase_2018_19, overseas_departures_2018_19, natural_increase_2017_18, overseas_departures_2017_18, lga_name_2021, internal_arrivals_2017_18, overseas_departures_2020_21, deaths_2017_18, internal_arrivals_2016_17, lga_code_2021, net_overseas_migration_2019_20, internal_departures_2016_17, deaths_2016_17, erp_2017, erp_2018, erp_2019, net_internal_migration_2017_18, erp_2021, erp_2020, erp_change_per_cent_2020_21, net_overseas_migration_2016_17, overseas_arrivals_2020_21, net_internal_migration_2018_19, overseas_arrivals_2016_17, net_overseas_migration_2018_19, overseas_arrivals_2017_18, area_km2, net_internal_migration_2020_21, overseas_arrivals_2019_20, erp_2008, erp_2009, erp_2006, erp_2007, net_internal_migration_2016_17, births_2019_20, erp_2012, erp_2011, erp_2010, internal_departures_2019_20, erp_2016, deaths_2020_21, erp_2015, erp_2014, erp_2013, internal_departures_2020_21, erp_change_number_2020_21, internal_arrivals_2019_20, overseas_arrivals_2018_19, overseas_departures_2019_20, internal_departures_2017_18, deaths_2019_20, state_code_2021, natural_increase_2016_17, pop_density_2021_people_per_km2, net_overseas_migration_2020_21, primaryindex, overseas_departures_2016_17, erp_2001, erp_2003, erp_2002, erp_2005, internal_arrivals_2020_21, erp_2004, internal_arrivals_2018_19, net_overseas_migration_2017_18, natural_increase_2019_20, births_2018_19
364,176,388,388,"New South Wales",345,242,2921,159,286,117,258,"Byron",2944,193,247,2182,"11350",218,2130,214,34011,34545,35075,75,36217,35772,1.24399995803833,386,295,50,620,321,600,565.802673339844,167,540,30347,30537,30125,30174,52,364,31210,30712,30664,3035,33399,212,32803,32263,31756,3354,445,3380,607,322,2869,230,1,174,64.0099029541016,102,19,234,29453,29952,29697,30130,3521,30141,2971,342,134,401
137,28,145,143,"New South Wales",16,125,1029,21,18,26,16,"Cabonne",1045,13,111,786,"11400",14,829,89,13612,13667,13632,8,13759,13678,0.592199981212616,24,14,-77,39,21,37,6022.349609375,52,34,12799,12929,12634,12706,-43,132,13322,13211,13071,924,13577,117,13511,13506,13473,965,81,940,39,20,1037,116,1,54,2.2846999168396,1,20,15,12447,12482,12478,12543,1017,12506,952,21,16,146
1550,1754,2179,1368,"New South Wales",4703,405,5829,1517,268,1152,241,"Camden",10671,179,398,8997,"11450",201,3465,380,87150,94033,101424,5411,114516,107797,6.23299980163574,362,213,5573,582,301,561,201.527801513672,4931,503,53739,55379,50632,52182,5532,1943,61128,58440,56848,6059,80268,425,74103,68645,64095,6636,6719,10762,569,302,5260,474,1,988,568.239196777344,34,21,220,45167,48445,47176,49994,11567,48929,11402,320,1469,1922
2550,1817,2669,2349,"New South Wales",404,915,12070,1778,1178,1661,1070,"Campbelltown (NSW)",12008,793,889,10063,"11500",894,10054,862,164645,167926,170908,228,175687,174055,0.937600016593933,1587,939,-121,2555,1325,2462,311.411712646484,-331,2223,148404,149984,146534,147155,9,2783,152451,151172,150316,11736,161562,852,158586,156289,154346,13280,1632,12140,2503,1329,11780,934,1,1487,564.1630859375,146,22,968,149188,148739,149096,147216,12949,147583,11949,1392,1849,2693
3830,656,3872,3641,"New South Wales",340,3313,15550,556,1159,394,1049,"Central Coast (NSW)",16943,786,3436,14280,"11650",888,13350,3352,339394,341693,343922,517,347158,345818,0.387499988079071,1564,927,357,2522,1316,2437,1681.005859375,543,2203,312338,316796,303051,306499,930,3826,325163,322657,320361,15231,336611,3216,333264,330377,327745,17081,1340,15571,2475,1315,16426,3158,1,289,206.518005371094,141,26,958,294596,299319,297530,301403,17624,299999,15907,1388,668,3869
22,10,25,27,"New South Wales",-21,15,173,17,11,6,9,"Central Darling",117,7,16,86,"11700",7,147,13,1847,1835,1839,-29,1834,1829,0.273400008678436,13,8,-24,21,11,20,53492.19140625,-6,19,2003,2029,2000,2003,-61,20,2015,2059,2045,150,1881,15,1923,1934,1979,184,5,129,22,12,146,16,1,14,0.0342999994754791,1,27,8,2432,2218,2326,2096,178,2163,149,11,4,32
787,396,867,751,"New South Wales",826,535,3958,287,71,308,63,"Cessnock",5287,48,479,3724,"11720",53,3261,468,57561,59029,59978,1076,63020,61256,2.87969994544983,95,57,581,153,81,147,1965.15930175781,1359,133,49303,50218,47426,48302,463,827,53318,52485,51304,4113,56720,471,55888,55103,54303,4160,1764,4939,152,80,4211,428,1,283,32.0685997009277,9,28,58,46823,47181,47024,47305,5519,47266,4539,84,399,822
495,-65,546,498,"New South Wales",81,563,3072,-55,91,-47,82,"Clarence Valley",3381,62,542,2641,"11730",69,2690,599,51596,51598,51656,-60,52993,51735,2.43160009384155,124,73,9,198,104,191,10428.6806640625,1312,172,49818,50433,49149,49524,-49,507,51350,51287,50993,2868,51622,611,51547,51498,51443,2855,1258,2949,195,103,3441,578,1,-101,5.08150005340576,11,29,74,48247,48509,48415,48853,4167,48631,3081,109,-71,508
72,23,71,84,"New South Wales",-186,30,446,43,15,39,13,"Cobar",364,10,33,310,"11750",10,422,32,4647,4628,4572,-76,4365,4417,-1.17729997634888,20,12,-116,32,17,31,45575.3515625,-77,27,4887,4853,4941,4954,-112,54,4759,4782,4844,474,4687,48,4703,4727,4740,410,-52,288,32,17,440,33,1,52,0.0957999974489212,2,30,12,4990,4949,4984,4913,333,4913,330,18,21,73
801,73,792,847,"New South Wales",-79,685,4919,131,425,194,384,"Coffs Harbour",5071,285,607,4346,"11800",324,4205,673,75552,76480,77265,228,78093,77651,0.569199979305267,567,368,176,915,478,890,1173.74353027344,286,802,68574,69358,66657,67567,141,827,71564,70972,70373,4608,74670,719,73739,73016,72303,4963,442,4529,903,478,4843,686,1,174,66.5333023071289,83,31,348,62582,64574,63553,65957,5249,65448,5095,506,141,816
46,-11,39,31,"New South Wales",-62,38,326,13,4,-9,4,"Coolamon",322,3,55,270,"12000",2,262,43,4392,4363,4341,-25,4304,4291,0.303000003099442,6,3,-40,10,5,9,2430.90380859375,24,7,4145,4187,4097,4116,8,44,4278,4236,4216,351,4390,50,4366,4357,4328,309,13,289,9,5,347,34,1,-12,1.77049994468689,0,32,4,4090,4072,4078,4072,333,4066,286,5,10,51
68,24,65,88,"New South Wales",-60,47,338,35,2,9,2,"Coonamble",298,1,59,223,"12150",2,286,42,4036,4008,3957,-39,3854,3907,-1.3565000295639,2,2,-88,4,2,4,9916.0537109375,-78,4,4233,4223,4305,4253,-63,57,4194,4226,4224,319,4051,41,4091,4134,4168,325,-53,259,4,2,337,49,1,46,0.388700008392334,1,33,2,4797,4578,4690,4394,247,4476,250,2,8,82
102,-22,116,103,"New South Wales",-25,134,673,-27,15,-26,13,"Cootamundra-Gundagai Regional",765,9,128,603,"12160",11,621,146,11249,11250,11233,11,11169,11226,-0.507700026035309,19,12,-5,31,15,29,3981.41723632812,-38,27,11168,11230,11254,11201,-18,128,11312,11308,11274,692,11291,138,11302,11305,11313,729,-57,667,30,16,754,121,1,-43,2.80529999732971,3,34,12,11397,11292,11357,11256,691,11248,668,16,7,107
142,12,154,131,"New South Wales",23,175,828,-37,17,5,14,"Cowra",820,11,137,700,"12350",11,653,159,12700,12753,12741,29,12785,12732,0.416299998760223,22,13,8,34,17,33,2808.78198242188,39,29,12591,12548,12754,12688,47,121,12529,12523,12533,780,12659,142,12604,12556,12511,882,53,803,34,18,791,164,1,-28,4.55179977416992,2,35,12,12989,12849,12922,12774,921,12804,836,19,-43,138
4022,2610,3724,4132,"New South Wales",-5150,1163,18324,2841,4712,2923,4290,"Cumberland",15043,3174,1099,12973,"12380",3575,16284,1135,231725,236599,241453,-3714,239834,242630,-1.15240001678467,6348,3800,-3329,10221,5342,9955,72.7496032714844,-6032,8890,191102,195643,180403,185224,-3311,3902,207528,203181,199981,18514,225691,1114,221152,216864,212450,20392,-2796,13364,10054,5315,18757,1150,1,2997,3296.70532226562,626,36,3873,171200,172359,171580,177098,14360,174036,14995,5665,2752,4004
827,425,840,766,"New South Wales",-166,451,3334,386,194,429,178,"Dubbo Regional",3482,130,398,2765,"12390",147,2618,447,52133,53167,53710,375,54195,54043,0.281300008296967,263,215,-63,423,220,408,7534.52490234375,-358,367,47849,48466,47148,47315,147,792,49397,49079,48949,3217,51404,415,50847,50322,49757,3655,152,3051,414,220,3107,440,1,319,7.19290018081665,85,37,160,47176,47060,47162,47038,3297,47025,3271,230,352,837
