DivisionAb,DivisionName,DivisionId,state,WinningParty2022,WinningParty2019,WinningPercent2022,WinningPercent2019,ChangedWinningParty,ChangeInWinningPercent,2022WinningPartyOwnChangeInPercent,avg_age,avg_educ_years,avg_weekly_income,erp,net_migration
PARR,Parramatta,140.0,NSW,ALP,ALP,0.5350419274831699,0.5766745507302918,0,-0.0416326232471219,-0.0416326232471219,45.65051884682863,11.37888099239019,1969.8068012182423,254247.4,-4157.32
PATE,Paterson,249.0,NSW,ALP,ALP,0.5504410168894165,0.6073769836511173,0,-0.0569359667617007,-0.0569359667617007,47.45062155549613,9.854448367176284,1518.1025729111725,74298.92000000001,1336.9499999999998
REID,Reid,144.0,NSW,LP,LP,0.5317941276886309,0.5468503372076338,0,-0.0150562095190028,-0.0150562095190028,40.419854061876045,10.05276378934099,1862.9351479356048,115563.54,-1653.94
RICH,Richmond,145.0,NSW,ALP,ALP,0.5407795055821372,0.5395638122726072,0,0.0012156933095299,0.0012156933095299,53.436438944442166,10.724031445697255,1538.022946664797,75591.98,796.9900000000001
RIVE,Riverina,250.0,NSW,NP,NP,0.6948217275438128,0.6643651435503437,0,0.030456583993469,0.030456583993469,48.37023172649925,9.646557852026309,1321.8398666961878,15029.570000000003,-28.64
ROBE,Robertson,146.0,NSW,LP,LP,0.542363706394895,0.5114350787703223,0,0.0309286276245726,0.0309286276245726,47.17430849270691,9.785990319887285,1528.0755090613682,315913.78,622.44
SHOR,Shortland,148.0,NSW,ALP,ALP,0.5444788957791559,0.5993696321834391,0,-0.0548907364042832,-0.0548907364042832,39.30989619239625,8.13327035577435,1309.914550241949,195276.58,1065.34
SYDN,Sydney,149.0,NSW,ALP,ALP,0.6867056900279491,0.6531285551763367,0,0.0335771348516124,0.0335771348516124,41.60451411649412,10.566152406025612,1764.2992902206383,135145.41,-4378.23
WARR,Warringah,151.0,NSW,IND,LP,0.5723652073857777,0.6155355041192625,1,-0.0431702967334848,0.0723652073857776,38.47756766641128,8.838789545720477,1853.2259302884052,172159.45999999996,-2098.5
WATS,Watson,251.0,NSW,ALP,ALP,0.6352284866468842,0.6757532798308424,0,-0.0405247931839581,-0.0405247931839581,47.17826396905502,11.258492471286951,1806.341084425805,302773.30999999994,-4215.99
WENT,Wentworth,152.0,NSW,LP,LP,0.513069055418143,0.6774841839889645,0,-0.1644151285708215,-0.1644151285708215,34.60192744161225,8.652668143902131,1806.88219530308,69205.74,-1907.78
WERR,Werriwa,153.0,NSW,ALP,ALP,0.5547124558257012,0.5819652868701112,0,-0.02725283104441,-0.02725283104441,46.176241303412674,10.993016970529755,1837.13786147786,226677.2,998.44
WHIT,Whitlam,150.0,NSW,ALP,ALP,0.6091398739663586,0.6372344856309871,0,-0.0280946116646284,-0.0280946116646284,51.84931799793311,10.566264810035351,1734.477505120337,75271.28,585.76
BEAN,Bean,318.0,ACT,ALP,ALP,0.5751622031655171,0.5885199712723054,0,-0.0133577681067882,-0.0133577681067882,46.183907609939546,11.494222672111354,2294.529725575034,423021.7,-2861.6
CANB,Canberra,101.0,ACT,ALP,ALP,0.6708216149902202,0.6294063591251609,0,0.0414152558650593,0.0414152558650593,46.100839740995546,11.505109422407012,2314.837479216152,431611.0,-2920.0
FENN,Fenner,102.0,ACT,ALP,ALP,0.6055660083340066,0.6183872688257402,0,-0.0128212604917336,-0.0128212604917336,47.26378990621152,11.352694918267815,2030.5289282404976,311360.8,-2102.4
LING,Lingiari,306.0,NT,ALP,ALP,0.5546310443077177,0.5818611952508347,0,-0.0272301509431169,-0.0272301509431169,44.23522935861888,9.998553318829224,1308.272415109108,6203.24,-32.33
SOLO,Solomon,307.0,NT,ALP,ALP,0.530825648101082,0.5609121020083858,0,-0.0300864539073038,-0.0300864539073038,44.86695878166388,11.088748615067423,1991.2768419644965,56028.49,-1207.5599999999995
BLAI,Blair,304.0,QLD,ALP,ALP,0.5120979932238728,0.5813601167096847,0,-0.0692621234858118,-0.0692621234858118,50.85276421371494,10.572816466782452,1492.3453327407076,72636.88,788.38
BONN,Bonner,310.0,QLD,LNP,LNP,0.5740919659825666,0.5338953831095886,0,0.040196582872978,0.040196582872978,18.3640265237482,4.563690122458524,821.9356292085552,508984.4,-3275.2000000000003
BOWM,Bowman,155.0,QLD,LNP,LNP,0.6023754563296353,0.5707013268345519,0,0.0316741294950834,0.0316741294950834,29.945108335505005,6.485533648516774,1074.302186840493,95263.17,388.81
BRIS,Brisbane,156.0,QLD,LNP,LNP,0.5492021146169463,0.5599773526561632,0,-0.0107752380392168,-0.0107752380392168,44.07366365699567,10.952856293900457,1972.645510100532,1221562.56,-7860.48
CAPR,Capricornia,157.0,QLD,LNP,LNP,0.6235458091202356,0.50630978578165,0,0.1172360233385856,0.1172360233385856,27.81470224241579,6.523843977582518,1191.9522133644164,18483.44,-73.08
DAWS,Dawson,158.0,QLD,LNP,LNP,0.6460816423000304,0.5336793940953383,0,0.1124022482046921,0.1124022482046921,11.018529550083494,2.360701039939058,342.2954751683526,11083.83,-1.6000000000000003
DICK,Dickson,252.0,QLD,LNP,LNP,0.5463547468746132,0.5169329141127026,0,0.0294218327619105,0.0294218327619105,49.15770933380763,10.944186602870811,1739.0727496520833,486645.0,4506.0
FADD,Fadden,159.0,QLD,LNP,LNP,0.6417623338682468,0.6124234572348164,0,0.0293388766334303,0.0293388766334303,44.38127319854847,10.001907593823782,1585.387688554167,579114.9,4613.400000000001
FAIR,Fairfax,160.0,QLD,LNP,LNP,0.634412126177796,0.6087319024280322,0,0.0256802237497637,0.0256802237497637,52.25712923160773,10.98205342044758,1695.3111696514418,343590.0,6085.0
FISH,Fisher,161.0,QLD,LNP,LNP,0.6269687424279138,0.5915446262189754,0,0.0354241162089383,0.0354241162089383,51.211986646975575,10.762412352038629,1661.404946258413,336718.2,5963.3
FLYN,Flynn,311.0,QLD,LNP,LNP,0.5865611411069005,0.5104078213572625,0,0.076153319749638,0.076153319749638,39.86100956392039,8.77423835891665,1384.5090862966556,24746.44,-204.86
FORD,Forde,162.0,QLD,LNP,LNP,0.5859571306836804,0.5063282087951376,0,0.0796289218885427,0.0796289218885427,47.86230426912448,11.001827176057732,1717.5091341600314,466196.4,3550.4
