lga_code_2021,lga_name_2021,area_km2,erp_2021,net_migration_2020_21
47800,Coorong,8833.43359375,5400,-17.0
47910,Tumby Bay,2669.07934570312,2756,14.0
43220,Kimba,5697.107421875,1041,-13.0
43360,Kingston (SA),3339.79516601562,2397,23.0
44000,Maralinga Tjarutja,105766.3125,64,0.0
44060,Marion,55.6405982971191,94927,-220.0
44210,Mid Murray,6271.62548828125,9160,51.0
44340,Mitcham,75.5467987060547,67696,-321.0
44550,Mount Barker,594.640625,38975,957.0
48410,West Torrens,37.0886001586914,61077,-745.0
44620,Mount Gambier,33.893798828125,27421,-107.0
44830,Mount Remarkable,3422.77319335938,2908,9.0
45040,Murray Bridge,1831.75964355469,22905,-6.0
45400,Orroroo Carrieton,3321.82397460938,839,-11.0
48540,Whyalla,1071.33972167969,21260,-281.0
50350,Bassendean,10.3449001312256,16031,-82.0
45090,Naracoorte Lucindale,4519.71484375,8502,-122.0
45120,Northern Areas,2986.18188476562,4650,31.0
45290,Norwood Payneham and St Peters,15.1035995483398,36930,-568.0
45340,Onkaparinga,518.12548828125,175711,394.0
47630,Tatiara,6527.234375,6803,-59.0
45540,Peterborough,3020.14208984375,1650,-8.0
45680,Playford,345.203796386719,98120,713.0
45890,Port Adelaide Enfield,91.7587966918945,129539,-731.0
46090,Port Augusta,1157.99047851562,13536,-202.0
46300,Port Lincoln,30.3680992126465,14826,42.0
46450,Port Pirie,1760.70971679688,17473,-81.0
47700,Tea Tree Gully,95.2108993530273,100879,-344.0
46510,Prospect,7.79150009155273,21925,-12.0
46670,Renmark Paringa,916.442016601562,9909,-49.0
46860,Robe,1091.71618652344,1496,17.0
46970,Roxby Downs,110.477798461914,3853,-164.0
47140,Salisbury,159.843200683594,144160,-1555.0
47290,Southern Mallee,5702.20263671875,2064,-26.0
47490,Streaky Bay,6222.85888671875,2226,12.0
47980,Unley,14.270299911499,38915,-391.0
48050,Victor Harbor,384.62548828125,15996,380.0
48130,Wakefield,3468.48779296875,6807,35.0
50080,Albany,4308.4580078125,38370,-25.0
50210,Armadale,559.525817871094,96128,1083.0
50250,Ashburton,100817.3125,13285,-146.0
50280,Augusta Margaret River,2122.375,17130,306.0
48260,Walkerville,3.52999997138977,7990,-80.0
48340,Wattle Range,3926.21020507812,12106,53.0
48640,Wudinna,5075.2783203125,1299,-12.0
48750,Yankalilla,751.257690429688,5839,168.0
48830,Yorke Peninsula,5899.6396484375,11374,112.0
49399,Unincorporated SA,619426.0625,3395,-63.0
50420,Bayswater,34.6169013977051,68877,-628.0
50490,Belmont,39.8246002197266,42795,-431.0
50560,Beverley,2370.51953125,1767,-10.0
50630,Boddington,1904.47912597656,1776,0.0
50770,Boyup Brook,2826.45849609375,1793,19.0
50840,Bridgetown-Greenbushes,1337.36096191406,4828,66.0
50910,Brookton,1601.15319824219,946,-7.0
50980,Broome,54401.82421875,16961,-258.0
51190,Bunbury,65.4162979125977,31508,-260.0
51260,Busselton,1454.05090332031,41041,573.0
51310,Cambridge,21.9554996490479,29227,-177.0
51330,Canning,64.8790969848633,93611,-1188.0
51080,Broomehill-Tambellup,2609.6611328125,1076,-12.0
51120,Bruce Rock,2724.6943359375,950,6.0
51400,Capel,557.898315429688,18617,42.0
51470,Carnamah,2870.931640625,525,-8.0
51540,Carnarvon,46574.703125,4995,-129.0
51610,Chapman Valley,3981.33325195312,1553,3.0
51710,Christmas Island,136.135604858398,1979,3.0
51960,Coolgardie,30297.697265625,3382,8.0
52030,Coorow,4189.8720703125,958,-5.0
51680,Chittering,1219.90319824219,6175,124.0
51750,Claremont,4.95539999008179,10991,-16.0
51820,Cockburn,167.941497802734,119928,1488.0
51860,Cocos Islands,13.7257995605469,579,1.0
51890,Collie,1709.81494140625,8625,15.0
52100,Corrigin,2681.27099609375,1136,9.0
52170,Cottesloe,3.85640001296997,8281,-120.0
52240,Cranbrook,3276.04638671875,1033,-17.0
52310,Cuballing,1195.3369140625,859,5.0
52940,Dowerin,1863.08508300781,658,-9.0
53920,Halls Creek,133045.96875,3491,-60.0
52380,Cue,13582.1953125,144,4.0
52450,Cunderdin,1862.44567871094,1402,-22.0
52520,Dalwallinu,7224.3564453125,1388,-23.0
52590,Dandaragan,6711.572265625,3367,56.0
52660,Dardanup,525.801696777344,14695,64.0
52730,Denmark,1859.84875488281,6422,31.0
52800,Derby-West Kimberley,119730.96875,8207,-67.0
52870,Donnybrook-Balingup,1559.85595703125,6241,60.0
53010,Dumbleyung,2539.22485351562,666,-11.0
53080,Dundas,92886.3671875,715,0.0
53150,East Fremantle,3.13840007781982,7893,-33.0
53220,East Pilbara,372295.6875,10868,-135.0
53290,Esperance,44797.546875,14174,-83.0
53360,Exmouth,6488.20947265625,2939,-26.0
53430,Fremantle,19.2891998291016,31901,207.0
53570,Gingin,3208.3583984375,5419,72.0
53640,Gnowangerup,4265.04248046875,1210,-9.0
53710,Goomalling,1835.42944335938,975,-20.0
53780,Gosnells,127.29759979248,126459,-576.0
53800,Greater Geraldton,9909.0,38146,-350.0
53990,Harvey,1727.60705566406,28563,70.0
54060,Irwin,2369.32983398438,3591,-3.0
54130,Jerramungup,6511.18017578125,1139,-6.0
54170,Joondalup,98.9420013427734,160579,-1052.0
54200,Kalamunda,324.295806884766,59435,-305.0
54280,Kalgoorlie-Boulder,95500.2890625,28709,-675.0
54310,Karratha,15238.29296875,23243,-293.0
54830,Kwinana,120.012298583984,48212,836.0
54340,Katanning,1518.18542480469,4024,-59.0
54410,Kellerberrin,1915.43298339844,1180,8.0
54900,Lake Grace,11886.3193359375,1274,-22.0
54480,Kent,5624.58203125,564,0.0
54550,Kojonup,2930.99243164062,1894,-21.0
57700,Serpentine-Jarrahdale,901.205383300781,35087,719.0
57770,Shark Bay,24201.548828125,962,3.0
54620,Kondinin,7440.8017578125,866,-7.0
54690,Koorda,2832.31298828125,397,-2.0
54760,Kulin,4718.921875,767,-17.0
54970,Laverton,179993.96875,1236,17.0
57840,South Perth,19.8113994598389,43665,-497.0
57910,Stirling,104.72730255127,223260,-2078.0
70700,Coomalie,2056.0546875,1355,3.0
55040,Leonora,31915.056640625,1572,7.0
55110,Mandurah,174.89680480957,89448,1195.0
55180,Manjimup,7029.607421875,9089,-38.0
55250,Meekatharra,100188.546875,980,-3.0
55320,Melville,52.8504981994629,103459,-336.0
55390,Menzies,124115.421875,533,8.0
55460,Merredin,3293.78247070312,3360,-30.0
58760,Wanneroo,683.260192871094,215878,974.0
58820,Waroona,832.228515625,4276,-3.0
58890,West Arthur,2831.8271484375,789,4.0
55530,Mingenew,1934.8857421875,418,-14.0
55810,Mount Magnet,13858.1181640625,455,-11.0
55880,Mount Marshall,10184.59375,507,-5.0
55600,Moora,3763.025390625,2380,-36.0
59320,Woodanilling,1128.83483886719,428,-4.0
59330,Wyalkatchem,1594.48840332031,483,-8.0
59340,Wyndham-East Kimberley,112066.3203125,7337,-140.0
55670,Morawa,3510.59301757812,660,-9.0
55950,Mukinbudin,3426.94409179688,520,-8.0
55740,Mosman Park,4.3471999168396,9108,-45.0
56090,Mundaring,643.201171875,39161,-89.0
59350,Yalgoo,27949.46484375,354,2.0
71000,Darwin,111.26139831543,80937,-2040.0
72200,Katherine,7416.64453125,10559,-156.0
56160,Murchison,45046.09375,164,2.0
56230,Murray,1703.46875,18523,251.0
56300,Nannup,3053.93603515625,1420,3.0
56370,Narembeen,3809.02856445312,846,-3.0
57140,Pingelly,1294.57214355469,1150,0.0
57210,Plantagenet,4876.68212890625,5354,54.0
57280,Port Hedland,18417.078125,15768,20.0
56460,Narrogin,1631.30236816406,4870,-78.0
56580,Nedlands,19.6448993682861,22652,-300.0
56620,Ngaanyatjarraku,159815.96875,1797,35.0
