lga_code_2021,avg_weekly_income
73600,1418.6839225589226
74050,916.4958609271523
74550,1343.3068376068377
59100,1411.061135371179
74560,1298.9285714285713
74660,1485.962051709758
74680,908.1365461847389
79399,1955.1941400666985
59170,1808.2972602739726
59250,1134.982142857143
89399,2314.837479216152
99399,1299.4497971602434
59310,1487.8598848368522
59320,1468.692546583851
59330,1236.547846889952
59340,1697.3607445805844
59350,1317.2613636363637
59360,1451.0636604774536
59370,1322.2137323943662
60210,1035.0631666666666
60410,1485.0107417622296
60610,1387.1241362290227
60810,1388.9027612344341
61010,1176.5083992094862
61210,1404.4499504459861
61410,1729.842986770692
61510,1365.5599707459776
61610,1347.7765809267341
61810,1235.5521172638437
62010,1290.9326923076924
62210,1214.7408107179663
62410,1187.7640287769784
62610,1470.0240120815504
62810,1915.282771797381
63010,1391.1404679873672
63210,1341.8035495716035
63410,1469.521472392638
63610,1762.233773122058
63810,1417.2297599674532
64010,1494.0229362761008
64210,1471.6593193653869
64610,1419.7456411187795
70420,1453.4871794871794
70540,542.0326086956521
70620,1166.9804195804195
70700,1111.378752886836
71000,2037.220515884172
71300,1338.1055172413794
72200,1894.5841514726508
72300,2043.983282674772
72330,1139.2011545293074
