DivisionAb,DivisionName,DivisionId,state,WinningParty2022,WinningParty2019,WinningPercent2022,WinningPercent2019,ChangedWinningParty,ChangeInWinningPercent,2022WinningPartyOwnChangeInPercent,avg_age,avg_educ_years,avg_weekly_income,erp,net_migration,electorate,sentiment
LYNE,Lyne,130.0,NSW,NP,NP,0.6517295908282269,0.6162923716057559,0,0.035437219222471,0.035437219222471,55.80361511427476,10.465592129408218,1361.8578469809863,81115.27553506341,1135.630185184161,Lyne,0.15118363636363638
MACA,Macarthur,131.0,NSW,ALP,ALP,0.5839966232513266,0.5833259186760388,0,0.0006707045752878,0.0006707045752878,46.57092272570242,10.923868022042726,1857.906802391451,163296.36410438598,858.1703726015947,Macarthur,0.4900357142857143
MACK,Mackellar,132.0,NSW,LP,LP,0.6322281248091836,0.6573628898438497,0,-0.0251347650346661,-0.0251347650346661,49.94617377214421,11.412265700209526,2381.408208567765,272184.0,-3170.0,Mackellar,0.1577
MACQ,Macquarie,133.0,NSW,ALP,ALP,0.5019133376654186,0.5219459388531689,0,-0.0200326011877503,-0.0200326011877503,49.68772387381346,10.87924816951214,1929.6291611774984,71020.59488399983,-318.91226136832495,Macquarie,0.10172862669245648
MCMA,McMahon,315.0,NSW,ALP,ALP,0.5663696087501318,0.6211441456100792,0,-0.0547745368599474,-0.0547745368599474,46.56651163388604,10.915198663943707,1797.785227621323,254486.8917817262,-2004.4330056720887,McMahon,0.1391773730405766
MITC,Mitchell,134.0,NSW,LP,LP,0.686341700798897,0.678161801793899,0,0.008179899004998,0.008179899004998,48.15676441376009,11.41497492645353,2440.997038324659,196774.8966578936,2855.129531463904,Mitchell,-0.050666666666666665
NENG,New England,135.0,NSW,NP,NP,0.6436189889025894,0.5851858869100248,0,0.0584331019925645,0.0584331019925645,53.359034832450405,10.49930583243798,1375.146483942414,20024.356449384468,-79.97398213956323,New England,0.2263724489795919
NEWC,Newcastle,136.0,NSW,ALP,ALP,0.6382644299339265,0.6383634806267949,0,-9.905069286841872e-05,-9.905069286841872e-05,47.99314693853645,10.979415693930973,1827.0254916427043,170394.40182874663,1021.77845568953,Newcastle,0.2216608695652174
NSYD,North Sydney,137.0,NSW,LP,LP,0.5927341071502333,0.6361041123738875,0,-0.0433700052236541,-0.0433700052236541,48.04594042342495,11.672374918736123,2457.522400257464,59586.342410921,-1376.9981027957206,North Sydney,0.24168736842105257
PAGE,Page,138.0,NSW,NP,NP,0.5944928849478969,0.5230470691698849,0,0.071445815778012,0.071445815778012,54.583235011258814,10.450029839151131,1311.3086866220067,40510.69105304157,749.558940714843,Page,0.06676433915211971
PARK,Parkes,139.0,NSW,NP,NP,0.6690544107629428,0.6510203427154265,0,0.0180340680475162,0.0180340680475162,50.55503005002912,10.505149883177964,1418.7743050033778,3855.9874559638806,-59.06358352936061,Parkes,0.0867283715012723
PARR,Parramatta,140.0,NSW,ALP,ALP,0.5350419274831699,0.5766745507302918,0,-0.0416326232471219,-0.0416326232471219,45.65255566112407,11.379878224614442,1970.577798482512,254299.1503142165,-4152.836700961892,Parramatta,0.2616290322580645
PATE,Paterson,249.0,NSW,ALP,ALP,0.5504410168894165,0.6073769836511173,0,-0.0569359667617007,-0.0569359667617007,51.030589790940496,10.596007069359832,1631.9112608491323,79848.49766239821,1435.5812978045128,Paterson,0.07297262996941897
REID,Reid,144.0,NSW,LP,LP,0.5317941276886309,0.5468503372076338,0,-0.0150562095190028,-0.0150562095190028,45.924347971279445,11.423272148902049,2115.5872104246987,131884.19308112882,-1892.412897725412,Reid,0.24052857142857145
RICH,Richmond,145.0,NSW,ALP,ALP,0.5407795055821372,0.5395638122726072,0,0.0012156933095299,0.0012156933095299,53.96657163291832,10.833870748587282,1554.3142674843643,76118.597251758,802.1813376133298,Richmond,0.1552675496688741
RIVE,Riverina,250.0,NSW,NP,NP,0.6948217275438128,0.6643651435503437,0,0.030456583993469,0.030456583993469,52.56311956287569,10.485740083180977,1437.1475600824674,15027.692294672304,-29.24839101117357,Riverina,0.17528316151202752
ROBE,Robertson,146.0,NSW,LP,LP,0.542363706394895,0.5114350787703223,0,0.0309286276245726,0.0309286276245726,51.83989944253507,10.75383551635965,1679.2038561113936,347158.0,684.0,Robertson,0.2360375
SHOR,Shortland,148.0,NSW,ALP,ALP,0.5444788957791559,0.5993696321834391,0,-0.0548907364042832,-0.0548907364042832,51.72300814517597,10.70142965737771,1723.7774927609237,256524.57729479013,1405.0911357455784,Shortland,0.163132195750161
SYDN,Sydney,149.0,NSW,ALP,ALP,0.6867056900279491,0.6531285551763367,0,0.0335771348516124,0.0335771348516124,44.6945602656354,11.363976453256088,1897.90095206713,145953.44728515836,-4743.880267566407,Sydney,0.3155432276657062
WARR,Warringah,151.0,NSW,IND,LP,0.5723652073857777,0.6155355041192625,1,-0.0431702967334848,0.0723652073857776,49.97658355145143,11.477139514229435,2406.1817555385314,224807.00099123784,-2735.237473426396,Warringah,0.4075075
